yr,brand,brandNm,corpNm,frcsCnt,newFrcsRgsCnt,ctrtEndCnt,ctrtCncltnCnt,nmChgCnt,open_rate,close_rate,avrgSlsAmt,avg_sales_eok,ar_unit_sales_manwon
2024,#커피플라잉스콘, #커피플라잉스콘,㈜에스에스인터내셔널,1,1,0,0,0,1.0,0.0,0,0.0,0.0
2024,#힘이나는커피생활,#힘이나는커피생활,따름인,10,0,1,0,0,0.0,0.1,247171,2.47171,2385.5
2022,145씨오,145씨오(145CO),(주)지디스토리,4,4,0,0,0,1.0,0.0,0,0.0,0.0
2023,145커피,145커피(145COFFEE),(주)지디스토리,4,1,1,0,0,0.25,0.25,0,0.0,0.0
2024,145커피,145커피(145COFFEE),(주)지디스토리,3,0,1,0,2,0.0,0.3333333333333333,69714,0.69714,639.0
2024,1847,1847,(주)올리브홀딩스,1,0,0,0,0,0.0,0.0,0,0.0,0.0
2018,19TEA,19TEA,(주)참인포텍,2,2,0,0,0,1.0,0.0,0,0.0,0.0
2019,19티,19티(TEA),(주)참인포텍,22,20,0,0,0,0.9090909090909091,0.0,132966,1.32966,1224.9
2020,19티,19티(TEA),(주)참인포텍,48,29,3,0,0,0.6041666666666666,0.0625,119268,1.19268,1047.2
2021,19티,19티(TEA),(주)참인포텍,37,3,14,0,0,0.08108108108108109,0.3783783783783784,68221,0.68221,545.4
2022,1L 맥스커피,1L 맥스커피,일리터맥스본점,4,4,0,0,0,1.0,0.0,0,0.0,0.0
2023,1L 맥스커피,1L 맥스커피,일리터맥스본점,6,2,0,0,0,0.3333333333333333,0.0,0,0.0,0.0
2023,1L 커피특별시,1L 커피특별시,라온컴퍼니,5,5,0,0,0,1.0,0.0,142346,1.42346,828.7
2020,1LiTER COFFEE,1LiTER COFFEE,(주)카페원플러스원,8,1,0,0,1,0.125,0.0,101291,1.01291,602.3
2021,1LiTER COFFEE,1LiTER COFFEE,(주)카페원플러스원,6,0,0,0,1,0.0,0.0,70939,0.70939,421.8
2022,1LiTER COFFEE,1LiTER COFFEE(일리터커피),(주)카페원플러스원,6,0,0,0,0,0.0,0.0,51674,0.51674,307.2
2021,24시무인 셀프카페,24시무인 셀프카페,에스시(SC)월드와이드,20,11,0,0,0,0.55,0.0,0,0.0,0.0
2022,24시무인 셀프카페,24시무인 셀프카페,에스시(SC)월드와이드,25,9,1,3,0,0.36,0.16,0,0.0,0.0
2023,24시무인 셀프카페,24시무인 셀프카페,에스시(SC)월드와이드,21,0,0,4,2,0.0,0.19047619047619047,0,0.0,0.0
2023,30초커피,30초커피,30초커피,3,0,0,0,0,0.0,0.0,0,0.0,0.0
2024,30초커피,30초커피,30초커피,4,2,1,0,0,0.5,0.25,0,0.0,0.0
2024,32커피,32커피,에스티컴퍼니,3,2,0,0,0,0.6666666666666666,0.0,0,0.0,0.0
