brand,menu_drinks,menu_food,menu_conf,tier,founded,menu_total,sales_yr,avg_sales_eok,frcsCnt,newFrcsRgsCnt,open_rate,close_rate,age,low,log_total,log_drinks,log_stores
투썸플레이스,43,55,0.7,고가,2002,98,2024,5.22117,1484,125,0.0842318059299191,0.0357142857142857,22,0,4.584967478670572,3.7612001156935624,7.302496423727326
탐앤탐스,34,14,0.8,중가,1999,48,2024,3.85128,257,11,0.0428015564202334,0.1828793774319066,25,0,3.871201010907891,3.5263605246161616,5.54907608489522
메가MGC커피,74,29,0.65,저가,2015,103,2024,3.62621,2681,539,0.2010443864229765,0.0052219321148825,9,1,4.634728988229636,4.30406509320417,7.893945138235959
파스쿠찌,57,85,0.6,중가,2002,142,2023,3.47825,494,52,0.1052631578947368,0.1133603238866396,21,0,4.955827057601261,4.04305126783455,6.202535517187923
할리스,36,18,0.7,중가,1998,54,2024,3.44268,424,42,0.0990566037735849,0.1344339622641509,26,0,3.9889840465642745,3.58351893845611,6.049733455231958
빽다방,62,35,0.75,저가,2006,97,2024,3.19087,1449,241,0.1663216011042098,0.0138026224982746,18,1,4.574710978503383,4.127134385045092,7.278628942320682
매머드커피,60,30,0.55,저가,2015,90,2024,3.04074,30,0,0.0,0.3,9,1,4.499809670330265,4.0943445622221,3.4011973816621555
엔제리너스,27,34,0.7,중가,2000,61,2024,2.76161,302,5,0.0165562913907284,0.1258278145695364,24,0,4.110873864173311,3.295836866004329,5.71042701737487
컴포즈커피,82,19,0.8,저가,2014,101,2024,2.65013,2360,474,0.2008474576271186,0.0063559322033898,10,1,4.61512051684126,4.406719247264253,7.7664168980196555
더벤티,89,45,0.65,저가,2014,134,2024,2.30012,1129,197,0.1744906997342781,0.054030115146147,10,1,4.897839799950911,4.48863636973214,7.029087564149662
이디야,80,60,0.75,중가,2001,140,2024,1.95287,2805,143,0.0509803921568627,0.1222816399286987,23,0,4.941642422609304,4.382026634673881,7.9391588179567965
요거프레소,32,15,0.6,저가,2010,47,2024,0.79332,348,3,0.0086206896551724,0.3103448275862069,14,1,3.8501476017100584,3.4657359027997265,5.8522024797744745
커피베이,89,50,0.75,저가,2011,139,2024,0.78687,377,24,0.0636604774535809,0.3129973474801061,13,1,4.9344739331306915,4.48863636973214,5.932245187448011
