brand,menu_drinks,menu_food,menu_total,menu_conf,price,founded,legacy,avg_sales_eok,sales20_eok,ar_unit_manwon,frcs,open_rate,close_rate,sales_cagr,food_ratio,low,age,log_menu_total,log_menu_drinks,log_frcs,log_price
투썸플레이스,43,55,98,0.7,4100,2002,0,5.22117,5.44844,894.9,1484,0.08423180592991913,0.03571428571428571,-0.010595422457201797,0.5612244897959183,0,22,4.584967478670572,3.7612001156935624,7.302496423727326,8.318742252692399
백억커피,107,38,145,0.85,1500,2018,0,4.33125,,3443.1,88,,,,0.2620689655172414,1,6,4.976733742420574,4.672828834461906,4.477336814478207,7.313220387090301
탐앤탐스,34,14,48,0.8,4400,1999,0,3.85128,3.25424,907.8,257,0.042801556420233464,0.1517509727626459,0.043010976341388396,0.2916666666666667,0,25,3.871201010907891,3.5263605246161616,5.54907608489522,8.389359819906353
메가MGC커피,74,29,103,0.65,1500,2015,0,3.62621,2.75854,2090.8,2681,0.2010443864229765,0.005221932114882507,0.07076314926565397,0.2815533980582524,1,9,4.634728988229636,4.30406509320417,7.893945138235959,7.313220387090301
파스쿠찌,57,85,142,0.6,4500,2002,0,3.47825,3.92607,519.1,494,0.10526315789473684,0.07692307692307693,-0.0298236384224686,0.5985915492957746,0,22,4.955827057601261,4.04305126783455,6.202535517187923,8.411832675758411
할리스,36,18,54,0.7,4500,1998,0,3.44268,3.78299,584.9,424,0.09905660377358491,0.09905660377358491,-0.023290603683859823,0.3333333333333333,0,26,3.9889840465642745,3.58351893845611,6.049733455231958,8.411832675758411
빽다방,62,35,97,0.75,2000,2006,0,3.19087,3.2501,2136.0,1449,0.1663216011042098,,-0.00458748475268389,0.36082474226804123,1,18,4.574710978503383,4.127134385045092,7.278628942320682,7.600902459542082
매머드커피,60,30,90,0.55,1200,2014,1,3.04074,2.59676,2248.2,30,,,0.0402479499915096,0.3333333333333333,1,10,4.499809670330265,4.0943445622221,3.4011973816621555,7.090076835776092
엔제리너스,27,34,61,0.7,4500,2000,0,2.76161,2.80561,481.2,302,0.016556291390728478,,-0.003943987258901771,0.5573770491803278,0,24,4.110873864173311,3.295836866004329,5.71042701737487,8.411832675758411
드롭탑,58,35,93,0.78,4500,2009,0,2.72134,1.77334,869.0,169,,,0.11300649515458328,0.3763440860215054,0,15,4.532599493153256,4.060443010546419,5.1298987149230735,8.411832675758411
컴포즈커피,82,19,101,0.8,1500,2014,0,2.65013,2.60853,2600.2,2360,0.20084745762711864,0.006355932203389831,0.00396329594791478,0.18811881188118812,1,10,4.61512051684126,4.406719247264253,7.7664168980196555,7.313220387090301
매머드익스프레스,55,18,73,0.55,1200,2018,0,2.3078,2.52464,1869.7,630,,,-0.022200800127649578,0.2465753424657534,1,6,4.290459441148391,4.007333185232471,6.4457198193855785,7.090076835776092
더벤티,89,45,134,0.65,1500,2014,0,2.30012,2.1324,1833.3,1129,0.1744906997342781,,0.01910857324299542,0.3358208955223881,1,10,4.897839799950911,4.48863636973214,7.029087564149662,7.313220387090301
하삼동커피,77,32,109,0.75,1500,2015,0,2.17906,2.43491,1487.1,587,,,-0.027372445770455278,0.29357798165137616,1,9,4.6913478822291435,4.343805421853684,6.375024819828097,7.313220387090301
이디야,80,60,140,0.75,3200,2001,0,1.95287,2.16931,644.7,2805,0.050980392156862744,0.06987522281639928,-0.02593502177178042,0.42857142857142855,0,23,4.941642422609304,4.382026634673881,7.9391588179567965,8.070906088787819
더리터,47,18,65,0.78,1500,2015,0,1.42429,1.76151,942.6,433,,,-0.05173804205813248,0.27692307692307694,1,9,4.174387269895637,3.8501476017100584,6.07073772800249,7.313220387090301
감성커피,89,68,157,0.75,1900,2017,0,1.3335,1.37315,972.5,311,,,-0.007298313513107169,0.43312101910828027,1,7,5.056245805348308,4.48863636973214,5.739792912179234,7.549609165154532
요거프레소,32,15,47,0.6,2300,2010,0,0.79332,1.07997,463.4,348,0.008620689655172414,,-0.07421705059814865,0.3191489361702128,1,14,3.8501476017100584,3.4657359027997265,5.8522024797744745,7.7406644019172415
커피베이,89,50,139,0.75,3900,2011,0,0.78687,0.99883,376.1,377,0.0636604774535809,,-0.057887312597041274,0.3597122302158273,0,13,4.9344739331306915,4.48863636973214,5.932245187448011,8.268731832117737
커피에반하다,63,5,68,0.85,2000,2011,0,0.77006,1.09998,545.6,349,,,-0.08528680481624251,0.07352941176470588,1,13,4.219507705176107,4.143134726391533,5.855071922202427,7.600902459542082
