start_date,season,theme,collab,n_items_listed,n_new,date_precision,brand,year,quarter,month,is_collab
2017-01-01,winter,New Year,,2,2,exact,스타벅스,2017,2017Q1,2017-01,0
2017-02-15,spring,Spring Wonderland,,2,2,exact,스타벅스,2017,2017Q1,2017-02,0
2017-03-21,spring,Cherry Blossom,,3,3,exact,스타벅스,2017,2017Q1,2017-03,0
2017-04-18,summer,Show Your Flavor 1,,3,3,exact,스타벅스,2017,2017Q2,2017-04,0
2017-06-08,summer,Show Your Flavor 2,,4,4,exact,스타벅스,2017,2017Q2,2017-06,0
2017-07-25,summer,Show Your Flavor 3,,3,3,exact,스타벅스,2017,2017Q3,2017-07,0
2017-09-05,fall,Autumn 1,,2,2,exact,스타벅스,2017,2017Q3,2017-09,0
2017-09-29,fall,Autumn 2,,2,2,exact,스타벅스,2017,2017Q3,2017-09,0
2017-10-27,christmas,Give Good 1,,3,3,exact,스타벅스,2017,2017Q4,2017-10,0
2017-11-29,christmas,Give Good 2,,2,2,exact,스타벅스,2017,2017Q4,2017-11,0
2018-01-01,winter,New Year,,3,3,exact,스타벅스,2018,2018Q1,2018-01,0
2018-02-20,spring,Capture Spring,,3,3,exact,스타벅스,2018,2018Q1,2018-02,0
2018-03-20,spring,Cherry Blossom,,3,3,exact,스타벅스,2018,2018Q1,2018-03,0
2018-04-17,summer,Show Your Flavor 1,,3,3,exact,스타벅스,2018,2018Q2,2018-04,0
2018-06-08,summer,Show Your Flavor 2,,3,3,exact,스타벅스,2018,2018Q2,2018-06,0
2018-07-24,summer,Sweet & Bold,,3,3,exact,스타벅스,2018,2018Q3,2018-07,0
2018-09-04,fall,Latte Truly Yours 1,,2,2,exact,스타벅스,2018,2018Q3,2018-09,0
2018-09-28,fall,Latte Truly Yours 2,,2,2,exact,스타벅스,2018,2018Q3,2018-09,0
2018-10-05,halloween,Happy Halloween,,2,2,approx,스타벅스,2018,2018Q4,2018-10,0
2018-10-26,christmas,Blend is Magic,,5,5,exact,스타벅스,2018,2018Q4,2018-10,0
2019-01-01,winter,Teavana New Year,,4,4,exact,스타벅스,2019,2019Q1,2019-01,0
2019-02-08,winter,Valentine,,2,2,exact,스타벅스,2019,2019Q1,2019-02,0
2019-02-19,spring,Craft Your Coffee,,3,3,exact,스타벅스,2019,2019Q1,2019-02,0
2019-03-05,spring,Would You Berry Me,,3,3,exact,스타벅스,2019,2019Q1,2019-03,0
2019-03-19,spring,Cherry Blossom,,3,3,exact,스타벅스,2019,2019Q1,2019-03,0
2019-04-16,summer,15-Minute Vacation 1,,3,3,exact,스타벅스,2019,2019Q2,2019-04,0
2019-05-02,spring,Gratitude Month,,5,3,exact,스타벅스,2019,2019Q2,2019-05,0
2019-06-11,summer,15-Minute Vacation 2,,3,3,exact,스타벅스,2019,2019Q2,2019-06,0
2019-07-16,summer,Korea 20th Anniversary,anniv,2,2,exact,스타벅스,2019,2019Q3,2019-07,1
2019-07-30,summer,Teavolution,,4,2,exact,스타벅스,2019,2019Q3,2019-07,0
2019-09-03,fall,Autumn 1,,2,2,exact,스타벅스,2019,2019Q3,2019-09,0
2019-09-27,fall,Autumn 2,,4,2,exact,스타벅스,2019,2019Q3,2019-09,0
2019-10-15,halloween,Trick or Treat,,3,3,exact,스타벅스,2019,2019Q4,2019-10,0
2019-10-29,christmas,Merry Coffee 1,,5,5,exact,스타벅스,2019,2019Q4,2019-10,0
2019-11-28,christmas,Merry Coffee 2,,5,4,exact,스타벅스,2019,2019Q4,2019-11,0
2020-01-02,winter,Be The Brightest Stars,,3,3,approx,스타벅스,2020,2020Q1,2020-01,0
2020-01-21,winter,BTS x Starbucks,idol,1,1,exact,스타벅스,2020,2020Q1,2020-01,1
2020-02-07,winter,Berry Loves Chocolate,,3,3,exact,스타벅스,2020,2020Q1,2020-02,0
2020-02-25,spring,Spring Choux,,3,3,exact,스타벅스,2020,2020Q1,2020-02,0
2020-03-24,spring,Cherry Blossom,,3,3,exact,스타벅스,2020,2020Q1,2020-03,0
2020-04-14,summer,Stay Chill Peaceful 1,,3,3,exact,스타벅스,2020,2020Q2,2020-04,0
2020-05-01,summer,Stay Chill (May adds),,6,6,exact,스타벅스,2020,2020Q2,2020-05,0
2020-06-09,summer,Stay Chill Playful 2,,3,3,exact,스타벅스,2020,2020Q2,2020-06,0
2020-07-02,summer,Playful (July adds),,2,2,exact,스타벅스,2020,2020Q3,2020-07,0
2020-07-14,summer,Stay Chill Playful 3,,3,3,exact,스타벅스,2020,2020Q3,2020-07,0
2020-09-08,fall,Give Thanks All Around,,3,3,exact,스타벅스,2020,2020Q3,2020-09,0
2020-10-13,halloween,Spooky Friends,,2,2,exact,스타벅스,2020,2020Q4,2020-10,0
2020-10-30,christmas,Carry the Merry 1,,3,3,exact,스타벅스,2020,2020Q4,2020-10,0
2020-12-02,christmas,Carry the Merry 2 + Delivers,,7,7,exact,스타벅스,2020,2020Q4,2020-12,0
2021-01-01,winter,BOOST my day,,4,4,exact,스타벅스,2021,2021Q1,2021-01,0
2021-01-25,winter,Strawberry / Cupid,,3,3,exact,스타벅스,2021,2021Q1,2021-01,0
2021-02-14,spring,Dream Away,,3,2,exact,스타벅스,2021,2021Q1,2021-02,0
2021-03-16,spring,Find Your Blooming,,3,3,exact,스타벅스,2021,2021Q1,2021-03,0
2021-04-13,summer,One with the Sun 1,,3,3,exact,스타벅스,2021,2021Q2,2021-04,0
2021-05-01,summer,Mother's Day adds,,4,4,exact,스타벅스,2021,2021Q2,2021-05,0
2021-06-15,summer,Hello Summer 2,,4,4,exact,스타벅스,2021,2021Q2,2021-06,0
2021-07-15,summer,Found Happy Place 3,,3,3,approx,스타벅스,2021,2021Q3,2021-07,0
2021-09-07,fall,Black Glazed Season,,3,3,exact,스타벅스,2021,2021Q3,2021-09,0
2021-10-12,halloween,Halloween,,3,3,exact,스타벅스,2021,2021Q4,2021-10,0
2021-10-28,christmas,Carry the Merry 1,,3,3,exact,스타벅스,2021,2021Q4,2021-10,0
2021-12-02,christmas,Carry the Merry 2,,3,3,exact,스타벅스,2021,2021Q4,2021-12,0
2022-01-01,winter,New Year,,3,3,exact,스타벅스,2022,2022Q1,2022-01,0
2022-02-22,spring,Spring 1,,3,3,exact,스타벅스,2022,2022Q1,2022-02,0
2022-03-22,spring,Spring 2,,3,3,exact,스타벅스,2022,2022Q1,2022-03,0
2022-04-12,summer,Summer 1,,3,3,exact,스타벅스,2022,2022Q2,2022-04,0
2022-06-13,summer,Summer 2,,3,3,exact,스타벅스,2022,2022Q2,2022-06,0
2022-07-26,summer,Summer 3,,3,3,exact,스타벅스,2022,2022Q3,2022-07,0
2022-09-02,fall,Fall,,3,3,exact,스타벅스,2022,2022Q3,2022-09,0
2022-10-11,halloween,Halloween,,2,2,exact,스타벅스,2022,2022Q4,2022-10,0
2022-11-09,christmas,Christmas 1,,4,4,exact,스타벅스,2022,2022Q4,2022-11,0
2022-12-02,christmas,Christmas 2,,2,2,exact,스타벅스,2022,2022Q4,2022-12,0
2023-01-01,winter,New Year,,3,3,exact,스타벅스,2023,2023Q1,2023-01,0
2023-02-15,spring,Spring 1,,3,3,exact,스타벅스,2023,2023Q1,2023-02,0
2023-03-21,spring,Spring 2,,4,3,exact,스타벅스,2023,2023Q1,2023-03,0
2023-05-03,summer,Summer 1,,4,4,exact,스타벅스,2023,2023Q2,2023-05,0
2023-07-11,summer,Summer 2,,3,3,exact,스타벅스,2023,2023Q3,2023-07,0
2023-08-29,fall,Fall / Disney 100,disney,4,4,exact,스타벅스,2023,2023Q3,2023-08,1
2023-10-05,fall,Fall 2 / Disney,disney,2,2,exact,스타벅스,2023,2023Q4,2023-10,1
2023-11-02,christmas,Christmas 1,,3,3,exact,스타벅스,2023,2023Q4,2023-11,0
2023-11-29,christmas,Christmas 2,,2,2,exact,스타벅스,2023,2023Q4,2023-11,0
2024-01-01,winter,New Year Blue Dragon,,3,3,exact,스타벅스,2024,2024Q1,2024-01,0
2024-02-01,winter,February,,3,3,exact,스타벅스,2024,2024Q1,2024-02,0
2024-02-29,spring,March,,3,3,exact,스타벅스,2024,2024Q1,2024-02,0
2024-03-28,spring,April,,2,2,exact,스타벅스,2024,2024Q1,2024-03,0
2024-05-01,summer,Summer 1,,3,3,exact,스타벅스,2024,2024Q2,2024-05,0
2024-07-05,summer,25th Anniversary 1,anniv,4,4,exact,스타벅스,2024,2024Q3,2024-07,1
2024-08-02,summer,25th Anniversary 2,anniv,3,3,exact,스타벅스,2024,2024Q3,2024-08,1
2024-08-30,fall,September,,3,3,exact,스타벅스,2024,2024Q3,2024-08,0
2024-09-27,fall,October / Playmobil,toy,2,2,exact,스타벅스,2024,2024Q3,2024-09,1
2024-11-01,christmas,Holiday 1,,4,4,exact,스타벅스,2024,2024Q4,2024-11,0
2024-12-02,christmas,Holiday 2,,1,1,exact,스타벅스,2024,2024Q4,2024-12,0
2025-01-01,winter,New Year / Harry Potter,ip,3,3,exact,스타벅스,2025,2025Q1,2025-01,1
2025-02-06,winter,Valentine,,3,3,exact,스타벅스,2025,2025Q1,2025-02,0
2025-03-05,spring,Spring 1 Choux,,4,4,exact,스타벅스,2025,2025Q1,2025-03,0
2025-04-15,spring,Spring 2,,3,3,exact,스타벅스,2025,2025Q2,2025-04,0
2025-05-22,summer,Summer 1,,3,3,exact,스타벅스,2025,2025Q2,2025-05,0
2025-06-18,summer,Summer New Releases,,4,4,exact,스타벅스,2025,2025Q2,2025-06,0
2025-07-21,summer,Summer 2,,4,4,exact,스타벅스,2025,2025Q3,2025-07,0
2025-09-19,fall,Pre-Fall,,6,6,exact,스타벅스,2025,2025Q3,2025-09,0
2025-10-30,christmas,Christmas 1 / Where's Wally,ip,5,5,exact,스타벅스,2025,2025Q4,2025-10,1
2025-11-28,christmas,Christmas 2,,3,3,exact,스타벅스,2025,2025Q4,2025-11,0
2026-01-01,winter,New Year / Friends,ip,4,4,exact,스타벅스,2026,2026Q1,2026-01,1
2026-02-04,winter,New Year 2,,5,3,exact,스타벅스,2026,2026Q1,2026-02,0
2026-03-04,spring,Spring 1 Choux,,4,4,exact,스타벅스,2026,2026Q1,2026-03,0
2026-03-27,spring,KBO Collab,sports,1,1,exact,스타벅스,2026,2026Q1,2026-03,1
2026-04-15,spring,Spring 2 / Toy Story 5,toy,5,3,exact,스타벅스,2026,2026Q2,2026-04,1
2026-06-23,summer,Summer 1,,6,6,exact,스타벅스,2026,2026Q2,2026-06,0
2026-07-27,summer,Summer 2,,6,3,exact,스타벅스,2026,2026Q3,2026-07,0
2026-08-28,fall,Pre-Autumn,,6,6,exact,스타벅스,2026,2026Q3,2026-08,0
