quarter,promo_phases,new_drinks,items_listed,collab_phases,year
2017Q1,3,7,7,0,2017
2017Q2,2,7,7,0,2017
2017Q3,3,7,7,0,2017
2017Q4,2,5,5,0,2017
2018Q1,3,9,9,0,2018
2018Q2,2,6,6,0,2018
2018Q3,3,7,7,0,2018
2018Q4,2,7,7,0,2018
2019Q1,5,15,15,0,2019
2019Q2,3,9,11,0,2019
2019Q3,4,8,12,1,2019
2019Q4,3,12,13,0,2019
2020Q1,5,13,13,1,2020
2020Q2,3,12,12,0,2020
2020Q3,3,8,8,0,2020
2020Q4,3,12,12,0,2020
2021Q1,4,12,13,0,2021
2021Q2,3,11,11,0,2021
2021Q3,2,6,6,0,2021
2021Q4,3,9,9,0,2021
2022Q1,3,9,9,0,2022
2022Q2,2,6,6,0,2022
2022Q3,2,6,6,0,2022
2022Q4,3,8,8,0,2022
2023Q1,3,9,10,0,2023
2023Q2,1,4,4,0,2023
2023Q3,2,7,7,1,2023
2023Q4,3,7,7,1,2023
2024Q1,4,11,11,0,2024
2024Q2,1,3,3,0,2024
2024Q3,4,12,12,3,2024
2024Q4,2,5,5,0,2024
2025Q1,3,10,10,1,2025
2025Q2,3,10,10,0,2025
2025Q3,2,10,10,0,2025
2025Q4,2,8,8,1,2025
