product_detail,product_type,product_category,revenue,units,n_tx,avg_price,rev_share_%,units_per_store_day,kind,store_conc,conc_flag,rev_rank,cum_rev_share_%
Dark chocolate,Drinking Chocolate,Packaged Chocolate,755.2,118,118,6.4,0.10806907199247613,0.21731123388581952,retail,0.5593220338983051,True,1,0.10806907199247613
Earl Grey,Black tea,Loose Tea,1270.8999999999999,142,142,8.95,0.18186570920979597,0.26151012891344383,retail,0.5,True,2,0.2899347812022721
Spicy Eye Opener Chai,Chai tea,Loose Tea,1335.8999999999999,122,122,10.95,0.19116720507779245,0.22467771639042358,retail,0.40983606557377045,False,3,0.48110198628006456
Guatemalan Sustainably Grown,Green beans,Coffee beans,1340.0,134,134,10.0,0.1917539148171584,0.24677716390423574,retail,0.44029850746268656,True,4,0.6728559010972229
Lemon Grass,Herbal tea,Loose Tea,1360.3999999999999,152,152,8.95,0.19467315352034498,0.27992633517495397,retail,0.5263157894736842,True,5,0.867529054617568
Peppermint,Herbal tea,Loose Tea,1369.35,153,153,8.95,0.1959538979513999,0.281767955801105,retail,0.3986928104575163,False,6,1.063482952568968
Traditional Blend Chai,Chai tea,Loose Tea,1369.35,153,153,8.95,0.1959538979513999,0.281767955801105,retail,0.5098039215686274,True,7,1.2594368505203677
English Breakfast,Black tea,Loose Tea,1440.9499999999998,161,161,8.95,0.2061998533998391,0.2965009208103131,retail,0.3602484472049689,False,8,1.4656367039202067
Serenity Green Tea,Green tea,Loose Tea,1470.75,159,159,9.25,0.21046423150547444,0.292817679558011,retail,0.4591194968553459,True,9,1.6761009354256813
Morning Sunrise Chai,Chai tea,Loose Tea,1596.0,168,168,9.5,0.2283874985434215,0.30939226519337015,retail,0.40476190476190477,False,10,1.9044884339691026
Sustainably Grown Organic,Organic Chocolate,Packaged Chocolate,1679.6,221,221,7.6,0.24035065322902927,0.40699815837937386,retail,0.40271493212669685,False,11,2.144839087198132
Hazelnut syrup,Regular syrup,Flavours,1897.6000000000001,2372,1521,0.7999999999999999,0.2715464393709252,4.3683241252302025,prep,0.45151770657672846,True,12,2.4163855265690573
Chili Mayan,Drinking Chocolate,Packaged Chocolate,1972.84,148,148,13.33,0.2823132785879722,0.27255985267034993,retail,0.35135135135135137,False,13,2.6986988051570298
Carmel syrup,Regular syrup,Flavours,2060.8,2576,1725,0.8,0.2949003489964179,4.7440147329650095,prep,0.42624223602484473,True,14,2.993599154153447
Chocolate syrup,Regular syrup,Flavours,2126.4,2658,1733,0.8,0.3042877048262729,4.895027624309392,prep,0.41346877351392025,False,15,3.2978868589797203
Columbian Medium Roast,Gourmet Beans,Coffee beans,2220.0,148,148,15.0,0.3176818588761878,0.27255985267034993,retail,0.38513513513513514,False,16,3.615568717855908
Sugar Free Vanilla syrup,Sugar free syrup,Flavours,2324.0,2905,1811,0.8000000000000002,0.33256425226498215,5.349907918968692,prep,0.4960413080895009,True,17,3.9481329701208905
Espresso Roast,Espresso Beans,Coffee beans,2492.75,169,169,14.75,0.35671236653766536,0.31123388581952116,retail,0.4260355029585799,True,18,4.304845336658556
Jamacian Coffee River,Premium Beans,Coffee beans,2883.5,146,146,19.75,0.4126286666979674,0.26887661141804786,retail,0.363013698630137,False,19,4.717474003356523
I Need My Bean! Diner mug,Housewares,Branded,2935.0,240,222,12.247747747747749,0.4199983134241492,0.4419889502762431,retail,0.5887563884156729,True,20,5.137472316780673
Primo Espresso Roast,Espresso Beans,Coffee beans,3067.5,150,150,20.45,0.4389590550012189,0.27624309392265195,retail,0.4866666666666667,True,21,5.576431371781891
Our Old Time Diner Blend,House blend Beans,Coffee beans,3294.0,183,183,18.0,0.47137119060277594,0.3370165745856354,retail,0.48633879781420764,True,22,6.047802562384668
Brazilian - Organic,Organic Beans,Coffee beans,3852.0,214,209,18.0,0.551220955131115,0.39410681399631675,retail,0.42990654205607476,True,23,6.599023517515783
I Need My Bean! Latte cup,Housewares,Branded,4509.0,315,304,14.325657894736842,0.645237613366095,0.580110497237569,retail,0.4595253936571302,True,24,7.244261130881877
Ethiopia,Gourmet Beans,Coffee beans,4578.0,218,218,21.0,0.6551115089798143,0.4014732965009208,retail,0.3623853211009174,False,25,7.899372639861692
Organic Decaf Blend,Organic Beans,Coffee beans,4657.5,206,206,22.609223300970875,0.6664879539260562,0.37937384898710863,retail,0.42028985507246375,True,26,8.565860593787749
Oatmeal Scone,Scone,Bakery,5460.0,1820,1812,3.0,0.7813256529117052,3.3517495395948433,prep,0.3587912087912088,False,27,9.347186246699453
I Need My Bean! T-shirt,Clothing,Branded,6163.0,221,221,27.8868778280543,0.881924908222498,0.40699815837937386,retail,0.5002433879604089,True,28,10.229111154921952
Ginger Biscotti,Biscotti,Bakery,6436.56,1836,1811,3.505831032578686,0.9210713268324844,3.3812154696132595,prep,0.3572560498154294,False,29,11.150182481754435
Hazelnut Biscotti,Biscotti,Bakery,6608.01,2028,2009,3.258466898954704,0.9456058109335306,3.734806629834254,prep,0.35127973474616414,False,30,12.095788292687965
Chocolate Chip Biscotti,Biscotti,Bakery,6748.96,1924,1891,3.5079111581173983,0.9657757469734398,3.5432780847145486,prep,0.37871909153410305,False,31,13.061564039661405
Cranberry Scone,Scone,Bakery,6818.44,2092,2077,3.259359653346172,0.9757183305566458,3.852670349907919,prep,0.34318700465209045,False,32,14.037282370218051
Croissant,Pastry,Bakery,6861.88,1954,1933,3.511836523538541,0.9819345917951962,3.598526703499079,prep,0.37874168595195484,False,33,15.01921696201325
Almond Croissant,Pastry,Bakery,7168.13,1911,1903,3.7509879138202837,1.0257589473271027,3.5193370165745854,prep,0.3379542502716887,False,34,16.04497590934035
Jumbo Savory Scone,Scone,Bakery,7626.62,2028,2008,3.7607669322709163,1.0913688371812214,3.734806629834254,prep,0.35734965161500115,False,35,17.136344746521573
Ginger Scone,Scone,Bakery,8011.61,2540,2324,3.183997418244406,1.1464608817076825,4.677716390423573,prep,0.37740978405089615,False,36,18.282805628229255
Columbian Medium Roast Sm,Gourmet brewed coffee,Coffee,8356.0,4178,2728,2.0,1.1957430688150563,7.694290976058932,prep,0.36931546194351367,False,37,19.47854869704431
Ouro Brasileiro shot,Barista Espresso,Coffee,8902.2,3262,2222,2.696219621962196,1.2739042540935133,6.0073664825046045,prep,0.5679719619869246,True,38,20.752452951137826
Scottish Cream Scone,Scone,Bakery,8949.45,1985,1952,4.5086834016393444,1.2806657260898646,3.6556169429097607,prep,0.3927056969981395,False,39,22.03311867722769
Our Old Time Diner Blend Sm,Drip coffee,Coffee,8968.0,4484,2919,2.0,1.283320229910654,8.257826887661142,prep,0.35124888492417483,False,40,23.316438907138345
Brazilian Sm,Organic brewed coffee,Coffee,9482.0,4310,2814,2.2,1.3568735972360417,7.9373848987108655,prep,0.3526682134570766,False,41,24.673312504374387
Ethiopia Sm,Gourmet brewed coffee,Coffee,9752.6,4433,2833,2.2,1.3955964400341934,8.16390423572744,prep,0.3652154297315588,False,42,26.06890894440858
Jamaican Coffee River Sm,Premium brewed coffee,Coffee,9844.1,4018,2630,2.45,1.4086900842176038,7.39963167587477,prep,0.3633648581383773,False,43,27.477599028626187
English Breakfast Rg,Brewed Black tea,Tea,10500.0,4200,2743,2.5,1.5025493325225097,7.734806629834254,prep,0.36904761904761907,False,44,28.980148361148693
Spicy Eye Opener Chai Rg,Brewed Chai tea,Tea,10636.05,4171,2705,2.55,1.5220180788739086,7.681399631675875,prep,0.3644210021577559,False,45,30.502166440022606
Lemon Grass Rg,Brewed herbal tea,Tea,10812.5,4325,2792,2.5,1.5472680626571085,7.9650092081031305,prep,0.3424277456647399,False,46,32.049434502679716
Our Old Time Diner Blend Rg,Drip coffee,Coffee,11025.0,4410,2894,2.5,1.5776767991486351,8.121546961325967,prep,0.3356009070294785,False,47,33.62711130182834
Serenity Green Tea Rg,Brewed Green tea,Tea,11192.5,4477,2921,2.5,1.6016460385007802,8.244935543278086,prep,0.35760553942372125,False,48,35.228757340329125
Traditional Blend Chai Rg,Brewed Chai tea,Tea,11280.0,4512,2955,2.5,1.614167282938468,8.30939226519337,prep,0.34308510638297873,False,49,36.84292462326759
Columbian Medium Roast Rg,Gourmet brewed coffee,Coffee,11367.5,4547,3013,2.5,1.6266885273761553,8.373848987108655,prep,0.3547393886078733,False,50,38.46961315064375
Peppermint Rg,Brewed herbal tea,Tea,11410.0,4564,2949,2.5,1.6327702746744606,8.405156537753223,prep,0.3665644171779141,False,51,40.10238342531821
Morning Sunrise Chai Rg,Brewed Chai tea,Tea,11607.5,4643,3026,2.5,1.661032512119527,8.550644567219154,prep,0.34223562351927633,False,52,41.763415937437735
Chocolate Croissant,Pastry,Bakery,11625.98,3096,3076,3.7551950585175553,1.6636769989447666,5.701657458563536,prep,0.3361006986077733,False,53,43.4270929363825
Civet Cat,Premium Beans,Coffee beans,11700.0,260,190,45.0,1.674269256239368,0.47882136279926335,retail,0.6307692307692307,True,54,45.10136219262187
Earl Grey Rg,Brewed Black tea,Tea,11770.0,4708,3053,2.5,1.684286251789518,8.670349907918968,prep,0.36639762107051826,False,55,46.785648444411386
Our Old Time Diner Blend Lg,Drip coffee,Coffee,11991.0,3997,2664,3.0,1.7159113377407065,7.360957642725599,prep,0.38103577683262446,False,56,48.50155978215209
Lemon Grass Lg,Brewed herbal tea,Tea,12267.0,4089,2647,3.0,1.7554069201955835,7.530386740331492,prep,0.34360479334800687,False,57,50.25696670234767
Jamaican Coffee River Rg,Premium brewed coffee,Coffee,12455.800000000001,4018,2594,3.1,1.7824241881937029,7.39963167587477,prep,0.3924838227974117,False,58,52.039390890541384
Espresso shot,Barista Espresso,Coffee,12495.0,4165,2730,3.0,1.7880337057017865,7.670349907918968,prep,0.34501800720288117,False,59,53.82742459624317
Traditional Blend Chai Lg,Brewed Chai tea,Tea,12522.0,4174,2716,3.0,1.7918974039854159,7.6869244935543275,prep,0.3550551030186871,False,60,55.61932200022858
Columbian Medium Roast Lg,Gourmet brewed coffee,Coffee,12585.0,4195,2731,3.0,1.800912699980551,7.725598526703499,prep,0.3456495828367104,False,61,57.42023470020913
Serenity Green Tea Lg,Brewed Green tea,Tea,12660.0,4220,2750,3.0,1.8116451952128547,7.7716390423572745,prep,0.35260663507109,False,62,59.23187989542199
Earl Grey Lg,Brewed Black tea,Tea,12735.0,4245,2702,3.0,1.8223776904451583,7.81767955801105,prep,0.3542991755005889,False,63,61.05425758586714
English Breakfast Lg,Brewed Black tea,Tea,12927.0,4309,2852,3.0,1.8498528782398556,7.935543278084714,prep,0.3548387096774194,False,64,62.904110464107
Peppermint Lg,Brewed herbal tea,Tea,13050.0,4350,2857,3.0,1.8674541704208336,8.011049723756907,prep,0.36367816091954025,False,65,64.77156463452783
