k_cut,sku_reduction_%,gross_rev_dropped_%,n_conc_flag,retain_sig0,retain_sig30,retain_sig50,retain_sig70
0,0.0,0.0,0,100.0,100.0,100.0,100.0
1,1.25,0.10806907199247613,1,99.89193092800751,99.92435164960527,99.94596546400375,99.96757927840225
2,2.5,0.2899347812022721,2,99.71006521879772,99.79704565315839,99.85503260939885,99.9130195656393
3,3.75,0.48110198628006456,2,99.51889801371993,99.6542612988959,99.74450348901324,99.83474567913055
4,5.0,0.6728559010972229,3,99.32714409890276,99.52003355852388,99.64862653160463,99.77721950468539
5,6.25,0.867529054617568,4,99.13247094538244,99.38376235105966,99.55128995484446,99.7188175586293
6,7.5,1.063482952568968,4,98.93651704743101,99.24659462249366,99.45331300586876,99.66003138924387
7,8.75,1.2594368505203677,5,98.74056314947963,99.11079989100935,99.3576243853625,99.60444887971566
8,10.0,1.4656367039202067,5,98.53436329607979,98.96645999362947,99.25452445866259,99.54258892369572
9,11.25,1.6761009354256813,6,98.32389906457432,98.81913503157564,99.14929234290985,99.47944965424408
10,12.5,1.9044884339691026,6,98.0955115660309,98.1854584620738,98.2454230594357,98.30538765679763
11,13.750000000000002,2.144839087198132,6,97.85516091280185,98.01721300481344,98.12524773282118,98.2332824608289
12,15.0,2.4163855265690573,7,97.58361447343094,97.8271304972538,97.98947451313573,98.15181852901766
13,16.25,2.6986988051570298,7,97.30130119484296,97.44029130109939,97.532951371937,97.62561144277461
14,17.5,2.993599154153447,8,97.00640084584656,97.23386105680191,97.3855011974388,97.5371413380757
15,18.75,3.2978868589797203,8,96.70211314102028,97.0208596634235,97.23335734502567,97.44585502662781
16,20.0,3.615568717855908,8,96.38443128214409,96.79848236221017,97.07451641558758,97.35055046896495
17,21.25,3.9481329701208905,9,96.0518670298791,96.2046977619871,96.30658491672578,96.40847207146444
18,22.5,4.304845336658556,10,95.69515466334144,95.95499910541074,96.12822873345695,96.30145836150315
19,23.75,4.717474003356523,10,95.28252599664347,95.66615903872217,95.92191440010797,96.17766976149376
20,25.0,5.137472316780673,11,94.86252768321933,95.37216021932527,95.71191524339588,96.05167026746652
21,26.25,5.576431371781891,12,94.4235686282181,95.06488888082441,95.49243571589527,95.91998255096614
22,27.500000000000004,6.047802562384668,13,93.95219743761533,94.73492904740246,95.25675012059389,95.77857119378533
23,28.749999999999996,6.599023517515783,14,93.40097648248421,94.3490743788107,94.98113964302833,95.61320490724597
24,30.0,7.244261130881877,15,92.75573886911812,93.89740804945443,94.65852083634529,95.41963362323615
25,31.25,7.89937263986169,15,92.1006273601383,93.43882999316855,94.33096508185538,95.22310017054221
26,32.5,8.565860593787747,16,91.43413940621224,92.97228842542032,93.99772110489235,95.02315378436438
27,33.75,9.34718624669945,16,90.65281375330055,92.42536046838212,93.6070582784365,94.78875608849087
28,35.0,10.229111154921949,17,89.77088884507805,91.22386478212253,92.19251540681887,93.16116603151522
29,36.25,11.150182481754435,17,88.84981751824556,90.56919583866971,91.71544805228584,92.86170026590193
30,37.5,12.095788292687963,17,87.90421170731202,89.91719078568632,91.25917683793587,92.60116289018538
31,38.75,13.061564039661405,17,86.9384359603386,89.24114776280491,90.77628896444915,92.31143016609337
32,40.0,14.037282370218051,17,85.96271762978195,88.55814493141527,90.28842979917083,92.01871466692639
33,41.25,15.019216962013246,17,84.98078303798673,87.87079071715863,89.79746250327322,91.7241342893878
34,42.5,16.04497590934035,17,83.95502409065965,87.15275945402966,89.28458302960968,91.41640660518969
35,43.75,17.13634474652157,17,82.86365525347841,86.38880126800281,88.73889861101905,91.0889959540353
36,45.0,18.282805628229255,17,81.71719437177073,85.58627865080743,88.16566817016522,90.74505768952301
37,46.25,19.47854869704431,17,80.52145130295567,84.74925850263688,87.56779663575767,90.38633476887848
38,47.5,20.752452951137826,18,79.24754704886216,83.85752552477143,86.93084450871092,90.00416349265045
39,48.75,22.03311867722769,18,77.9668813227723,82.89638669239696,86.18272360548008,89.4690605185632
40,50.0,23.316438907138345,18,76.68356109286165,81.99806253145951,85.54106349052476,89.08406444959
